Filesystem            Size  Used Avail Use% Mounted on
/dev/mapper/pcorp--ub64-root
                      145G   83G   55G  61% /
varrun                2,0G  208K  2,0G   1% /var/run
varlock               2,0G     0  2,0G   0% /var/lock
udev                  2,0G   68K  2,0G   1% /dev
devshm                2,0G     0  2,0G   0% /dev/shm
/dev/sda1             236M   26M  198M  12% /boot
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.16/bkpportal
                      932G  826G  107G  89% /bkpportal
//10.1.0.14/gestao$    69G   59G   11G  86% /financeiro1
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/gestao$    69G   59G   11G  86% /logistica1
//10.1.0.14/gestao$    69G   59G   11G  86% /gvendas1
//10.1.0.14/gvendas$   69G   59G   11G  86% /gvendas
//10.1.0.14/gestao$    69G   59G   11G  86% /financeiro1
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/gestao$    69G   59G   11G  86% /logistica1
//10.1.0.14/gvendas$   69G   59G   11G  86% /gvendas
//10.1.0.14/gestao$    69G   59G   11G  86% /gvendas1
//10.1.0.14/gestao$    69G   59G   11G  86% /financeiro1
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/gestao$    69G   59G   11G  86% /logistica1
//10.1.0.14/gvendas$   69G   59G   11G  86% /gvendas
//10.1.0.14/gestao$    69G   59G   11G  86% /gvendas1
//10.1.0.14/gestao$    69G   59G   11G  86% /financeiro1
//10.1.0.14/palmtop    69G   59G   11G  86% /palmtop
//10.1.0.14/gestao$    69G   59G   11G  86% /logistica1
